Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
20 to 24,Population,SOM,Male,1/1/2009,1M,,614291.8739044
25 to 29,Population,PSE,Male,1/1/2011,0M,,169103.024785109
55 to 59,Population,MHL,Male,1/1/2016,0M,,945.516454723
25 to 29,Population,ESP,Male,1/1/2014,1M,,1415088.38184205
50 to 54,Population,SAU,Female,1/1/2011,0M,398151.046013938,
80 plus,Population,SRB,Male,1/1/2017,0M,,118945.614467358
50 to 54,Population,COD,Male,1/1/2012,1M,,975770.816682653
15 to 19,Population,PNG,Female,1/1/2014,0M,424231.647428396,
Under 5,Population,CAF,Female,1/1/2015,0M,310022.8836419,
35 to 39,Population,IDN,Female,1/1/2011,9M,9429599.69406038,
20 to 24,Population,MKD,Female,1/1/2017,0M,73851.452150477,
15 to 19,Population,COG,Female,1/1/2015,0M,227996.424325992,
20 to 24,Population,CIV,Male,1/1/2015,1M,,1076330.1882316
45 to 49,Population,AUS,Female,1/1/2014,1M,775172.111516219,
25 to 29,Population,HND,Female,1/1/2017,0M,427736.851442966,
50 to 54,Population,BLZ,Female,1/1/2016,0M,7862.145528513,
25 to 29,Population,EGY,Female,1/1/2017,4M,4055139.03905779,
80 plus,Population,LBR,Female,1/1/2008,0M,8623.552705791,
30 to 34,Population,DJI,Female,1/1/2017,0M,50620.768738819,
70 to 74,Population,KIR,Male,1/1/2011,0M,,432.727921130
80 plus,Population,AUS,Female,1/1/2014,1M,540377.093200768,
25 to 29,Population,BGR,Female,1/1/2017,0M,216722.300577835,
35 to 39,Population,BRA,Female,1/1/2008,7M,7059233.4023933,
30 to 34,Population,COL,Female,1/1/2016,2M,1832100.4491158,
20 to 24,Population,AUT,Female,1/1/2016,0M,267780.310969743,
50 to 54,Population,NOR,Female,1/1/2013,0M,158866.931312635,
30 to 34,Population,LBN,Male,1/1/2009,0M,,259017.007922486
45 to 49,Population,SRB,Male,1/1/2017,0M,,284224.532363177
35 to 39,Population,EST,Male,1/1/2017,0M,,46240.994669750
15 to 19,Population,HTI,Female,1/1/2014,1M,558828.829125544,
60 to 64,Population,FSM,Male,1/1/2017,0M,,1705.218902495
60 to 64,Population,JAM,Male,1/1/2008,0M,,42741.904685332
55 to 59,Population,TJK,Male,1/1/2009,0M,,83645.016607218
50 to 54,Population,SYC,Female,1/1/2015,0M,3157.033958410,
80 plus,Population,GRL,Female,1/1/2008,0M,327.859127383,
70 to 74,Population,BEN,Female,1/1/2013,0M,42289.864291593,
45 to 49,Population,KWT,Female,1/1/2012,0M,86142.206344482,
80 plus,Population,KWT,Female,1/1/2012,0M,10031.509298564,
50 to 54,Population,CRI,Female,1/1/2008,0M,110530.309825216,
20 to 24,Population,VEN,Male,1/1/2010,1M,,1259830.64471269
55 to 59,Population,JAM,Female,1/1/2011,0M,50939.224127799,
20 to 24,Population,GBR,Female,1/1/2017,4M,4133376.8768791,
10 to 14,Population,MMR,Male,1/1/2010,3M,,2573482.61885671
30 to 34,Population,BLR,Male,1/1/2012,0M,,359938.031867986
35 to 39,Population,SWZ,Female,1/1/2017,0M,35943.269956971,
75 to 79,Population,PAN,Female,1/1/2008,0M,21913.413786670,
65 to 69,Population,CRI,Male,1/1/2011,0M,,50322.924233353
75 to 79,Population,KHM,Female,1/1/2016,0M,87018.951599257,
15 to 19,Population,UKR,Male,1/1/2014,1M,,1164170.58006789
65 to 69,Population,ARM,Male,1/1/2008,0M,,42699.268172747
70 to 74,Population,GRL,Male,1/1/2011,0M,,551.441765437
30 to 34,Population,TKM,Male,1/1/2014,0M,,202926.944122399
45 to 49,Population,CPV,Male,1/1/2015,0M,,13156.266117102
70 to 74,Population,ITA,Female,1/1/2014,2M,1641318.86038758,
15 to 19,Population,DOM,Female,1/1/2012,0M,498686.736875232,
5 to 9,Population,GRC,Male,1/1/2013,0M,,272338.176489416
10 to 14,Population,IND,Female,1/1/2015,64M,64075760.4147314,
75 to 79,Population,NOR,Female,1/1/2009,0M,75425.656423165,
40 to 44,Population,LVA,Male,1/1/2013,0M,,68623.195224111
10 to 14,Population,BEL,Male,1/1/2009,0M,,310263.222005966
Under 5,Population,LUX,Male,1/1/2009,0M,,14617.667922924
75 to 79,Population,ZAF,Female,1/1/2017,0M,380033.244231959,
75 to 79,Population,CUB,Female,1/1/2014,0M,153337.914686622,
30 to 34,Population,OMN,Female,1/1/2015,0M,159973.783655113,
45 to 49,Population,KIR,Female,1/1/2008,0M,2612.758685051,
35 to 39,Population,CAN,Female,1/1/2010,1M,1130408.11318706,
30 to 34,Population,MWI,Female,1/1/2017,1M,579897.49295593,
70 to 74,Population,LBR,Male,1/1/2011,0M,,15220.080048695
70 to 74,Population,LBY,Male,1/1/2009,0M,,35727.878799025
15 to 19,Population,BTN,Male,1/1/2013,0M,,42794.671613517
35 to 39,Population,USA,Female,1/1/2013,10M,9850213.28626469,
Under 5,Population,NZL,Female,1/1/2016,0M,143293.953428222,
15 to 19,Population,TZA,Female,1/1/2015,3M,2813951.89311539,
45 to 49,Population,LBR,Female,1/1/2008,0M,55468.922321104,
30 to 34,Population,TTO,Female,1/1/2017,0M,60259.519832541,
65 to 69,Population,TGO,Male,1/1/2011,0M,,31838.119492185
25 to 29,Population,TWN,Female,1/1/2015,1M,768077.151648823,
25 to 29,Population,TLS,Male,1/1/2011,0M,,39921.778634469
5 to 9,Population,SYR,Male,1/1/2015,1M,,1346130.83946332
40 to 44,Population,PAN,Male,1/1/2011,0M,,117440.424439932
65 to 69,Population,LVA,Male,1/1/2009,0M,,46305.753534576
60 to 64,Population,GIN,Female,1/1/2017,0M,95922.438596612,
Under 5,Population,SLV,Female,1/1/2009,0M,266239.1823735,
30 to 34,Population,BTN,Male,1/1/2009,0M,,34612.124137038
40 to 44,Population,SEN,Female,1/1/2015,0M,311355.302075982,
55 to 59,Population,FIN,Female,1/1/2015,0M,185613.638422286,
55 to 59,Population,PRY,Female,1/1/2017,0M,126934.694096426,
40 to 44,Population,ZMB,Female,1/1/2008,0M,222617.982691933,
10 to 14,Population,USA,Female,1/1/2009,10M,10125838.6992108,
55 to 59,Population,THA,Female,1/1/2016,2M,2498109.9704286,
55 to 59,Population,UZB,Female,1/1/2016,1M,694458.418323531,
80 plus,Population,LTU,Male,1/1/2015,0M,,39744.229716368
15 to 19,Population,FJI,Male,1/1/2014,0M,,40194.542806975
35 to 39,Population,BEL,Male,1/1/2013,0M,,363081.837234165
Under 5,Population,CHL,Male,1/1/2013,1M,,615460.250274335
20 to 24,Population,PHL,Male,1/1/2012,5M,,4617870.07060672
15 to 19,Population,LBN,Male,1/1/2013,0M,,406352.60323839
65 to 69,Population,NIC,Male,1/1/2013,0M,,46496.002538312
50 to 54,Population,TGO,Female,1/1/2008,0M,83425.517810151,
35 to 39,Population,BOL,Male,1/1/2012,0M,,325283.059317624
Under 5,Population,STP,Female,1/1/2014,0M,12793.955726322,
5 to 9,Population,SRB,Male,1/1/2014,0M,,269923.988343467
65 to 69,Population,MLI,Female,1/1/2011,0M,93195.223283511,
65 to 69,Population,SAU,Male,1/1/2008,0M,,159366.590478244
60 to 64,Population,BDI,Male,1/1/2010,0M,,60902.687530309
10 to 14,Population,TLS,Female,1/1/2008,0M,63721.051119089,
55 to 59,Population,BGD,Male,1/1/2016,3M,,2806850.24328326
45 to 49,Population,GRL,Female,1/1/2008,0M,2219.124937712,
60 to 64,Population,BGR,Female,1/1/2010,0M,287390.79390801,
80 plus,Population,MDG,Female,1/1/2013,0M,38125.746431526,
60 to 64,Population,EGY,Female,1/1/2010,1M,899184.807143757,
45 to 49,Population,COM,Male,1/1/2010,0M,,12918.722381585
75 to 79,Population,BLZ,Female,1/1/2014,0M,1402.112793201,
35 to 39,Population,GAB,Female,1/1/2012,0M,48282.704399009,
40 to 44,Population,IRN,Female,1/1/2015,3M,2686391.81064015,
60 to 64,Population,AUS,Female,1/1/2016,1M,662854.387940334,
80 plus,Population,DMA,Female,1/1/2008,0M,1173.762068396,
30 to 34,Population,UKR,Male,1/1/2016,2M,,1902856.30700166
65 to 69,Population,GBR,Female,1/1/2010,3M,3043801.1189596,
Under 5,Population,AUT,Female,1/1/2016,0M,203185.669570138,
60 to 64,Population,GUM,Female,1/1/2012,0M,3420.674332360,
70 to 74,Population,UZB,Female,1/1/2014,0M,188393.404016464,
70 to 74,Population,SWZ,Female,1/1/2010,0M,6021.805391111,
80 plus,Population,ROU,Male,1/1/2009,0M,,234087.3580438
10 to 14,Population,LKA,Male,1/1/2015,1M,,886993.04843662
40 to 44,Population,JOR,Male,1/1/2013,0M,,274844.589154152
80 plus,Population,COM,Male,1/1/2010,0M,,1700.520369980
Under 5,Population,PHL,Male,1/1/2012,6M,,6168496.04545747
80 plus,Population,GTM,Female,1/1/2011,0M,70235.886414659,
50 to 54,Population,GEO,Male,1/1/2008,0M,,430495.291223625
30 to 34,Population,HTI,Female,1/1/2016,1M,515092.936789182,
75 to 79,Population,MWI,Female,1/1/2010,0M,56497.932601647,
50 to 54,Population,ZWE,Female,1/1/2009,0M,188874.034600161,
75 to 79,Population,CHE,Male,1/1/2008,0M,,105463.141281146
20 to 24,Population,CHL,Male,1/1/2013,1M,,764169.192293067
70 to 74,Population,EST,Male,1/1/2010,0M,,23155.977464089
5 to 9,Population,RWA,Female,1/1/2010,1M,734847.477403946,
65 to 69,Population,GUY,Male,1/1/2015,0M,,7601.669918063
20 to 24,Population,CAF,Female,1/1/2015,0M,213338.005950275,
55 to 59,Population,ITA,Female,1/1/2016,2M,2111896.65804094,
15 to 19,Population,CYP,Male,1/1/2008,0M,,43766.767883046
55 to 59,Population,BMU,Male,1/1/2011,0M,,2204.422454378
55 to 59,Population,MMR,Male,1/1/2017,1M,,1047363.55941511
Under 5,Population,VEN,Male,1/1/2010,1M,,1438741.54229261
25 to 29,Population,GIN,Female,1/1/2010,0M,391194.993360147,
40 to 44,Population,CHN,Female,1/1/2009,63M,63216942.904215,
45 to 49,Population,GTM,Female,1/1/2011,0M,294554.953819582,
10 to 14,Population,PER,Male,1/1/2015,1M,,1432842.40877427
75 to 79,Population,TTO,Female,1/1/2010,0M,11083.478577122,
70 to 74,Population,DMA,Male,1/1/2011,0M,,925.161478356
45 to 49,Population,DMA,Female,1/1/2008,0M,2015.339657321,
70 to 74,Population,THA,Female,1/1/2014,1M,947685.104626135,
15 to 19,Population,COL,Female,1/1/2014,2M,2182443.77797724,
25 to 29,Population,FSM,Male,1/1/2010,0M,,4105.518958746
5 to 9,Population,FSM,Male,1/1/2016,0M,,5862.203308395
70 to 74,Population,CAN,Female,1/1/2017,1M,803168.831000663,
15 to 19,Population,TKM,Male,1/1/2016,0M,,201725.350386716
60 to 64,Population,GNQ,Male,1/1/2011,0M,,4930.771442895
25 to 29,Population,KGZ,Female,1/1/2013,0M,272338.927080922,
50 to 54,Population,SYR,Female,1/1/2012,0M,355083.238605855,
65 to 69,Population,JOR,Male,1/1/2009,0M,,51833.855832526
10 to 14,Population,LCA,Female,1/1/2015,0M,6718.167440056,
Under 5,Population,MKD,Female,1/1/2017,0M,56659.880720909,
80 plus,Population,VCT,Male,1/1/2012,0M,,1155.254287187
70 to 74,Population,BGD,Male,1/1/2014,1M,,1268425.8193293
45 to 49,Population,ROU,Male,1/1/2009,1M,,611272.128717751
50 to 54,Population,CUB,Female,1/1/2016,1M,524833.724092441,
45 to 49,Population,VCT,Male,1/1/2012,0M,,3786.135443865
60 to 64,Population,BMU,Female,1/1/2008,0M,1871.838104679,
60 to 64,Population,ROU,Male,1/1/2013,1M,,620599.475986376
70 to 74,Population,MHL,Male,1/1/2014,0M,,198.849844465
45 to 49,Population,MRT,Female,1/1/2017,0M,73956.683459429,
55 to 59,Population,PRI,Female,1/1/2017,0M,126853.70854129,
65 to 69,Population,VEN,Male,1/1/2017,0M,,401934.098544685
50 to 54,Population,KHM,Female,1/1/2014,0M,366694.078525792,
50 to 54,Population,IRQ,Female,1/1/2017,1M,687639.420557592,
5 to 9,Population,GIN,Female,1/1/2016,1M,870697.839892429,
10 to 14,Population,PRK,Male,1/1/2017,1M,,919473.284119755
70 to 74,Population,URY,Male,1/1/2015,0M,,50123.352993622
80 plus,Population,PAK,Female,1/1/2011,0M,422528.736844749,
5 to 9,Population,MRT,Female,1/1/2014,0M,270965.020117449,
25 to 29,Population,FRA,Male,1/1/2008,2M,,1958385.93420756
20 to 24,Population,BHS,Male,1/1/2009,0M,,13871.260014109
20 to 24,Population,SLV,Female,1/1/2009,0M,272260.886947596,
20 to 24,Population,CYP,Female,1/1/2011,0M,46531.747004091,
45 to 49,Population,MDG,Female,1/1/2013,0M,410021.471110437,
5 to 9,Population,MAR,Female,1/1/2011,2M,1582858.72970457,
20 to 24,Population,LUX,Male,1/1/2009,0M,,14893.405262595
60 to 64,Population,MDG,Female,1/1/2009,0M,144171.658522624,
80 plus,Population,NAM,Male,1/1/2011,0M,,5794.212641930
20 to 24,Population,NZL,Female,1/1/2016,0M,147338.810383647,
45 to 49,Population,AGO,Female,1/1/2016,0M,463963.956137651,
Under 5,Population,CIV,Male,1/1/2015,2M,,1945676.83581399
65 to 69,Population,MKD,Female,1/1/2010,0M,43635.621483514,
20 to 24,Population,KEN,Female,1/1/2015,2M,2243405.90263646,
30 to 34,Population,ZAF,Female,1/1/2010,2M,1949992.7392107,
25 to 29,Population,BDI,Male,1/1/2017,0M,,407655.895824529
70 to 74,Population,GTM,Male,1/1/2008,0M,,91217.263131518
75 to 79,Population,ZWE,Female,1/1/2013,0M,37356.490272934,
80 plus,Population,AGO,Female,1/1/2016,0M,38832.243158842,
70 to 74,Population,PAK,Male,1/1/2008,1M,,844263.522759382
25 to 29,Population,CZE,Female,1/1/2009,0M,361160.304560618,
70 to 74,Population,ALB,Male,1/1/2010,0M,,45727.068872697
55 to 59,Population,QAT,Male,1/1/2008,0M,,23045.616009848
75 to 79,Population,DJI,Female,1/1/2010,0M,1788.570772376,
40 to 44,Population,ATG,Male,1/1/2013,0M,,3176.530097104
60 to 64,Population,HND,Female,1/1/2010,0M,80755.311536314,
Under 5,Population,SOM,Male,1/1/2009,1M,,1318046.15781424
5 to 9,Population,COD,Female,1/1/2015,6M,5604733.28747013,
10 to 14,Population,FRA,Female,1/1/2011,2M,1918302.96528815,
80 plus,Population,MNG,Female,1/1/2012,0M,10097.958863464,
30 to 34,Population,FJI,Male,1/1/2016,0M,,36639.581047807
30 to 34,Population,PNG,Female,1/1/2016,0M,336597.530268555,
5 to 9,Population,NER,Male,1/1/2015,2M,,1775848.312658
35 to 39,Population,AFG,Female,1/1/2008,1M,878988.907101052,
5 to 9,Population,SYC,Male,1/1/2012,0M,,3552.108097500
5 to 9,Population,SDN,Female,1/1/2008,2M,2207100.03126916,
80 plus,Population,MRT,Female,1/1/2017,0M,12978.009620389,
65 to 69,Population,GEO,Female,1/1/2011,0M,268032.170051855,
5 to 9,Population,ARG,Male,1/1/2009,2M,,1793629.61971466
25 to 29,Population,RWA,Female,1/1/2016,1M,525717.447898326,
45 to 49,Population,PAK,Female,1/1/2011,3M,3437334.81372716,
65 to 69,Population,ATG,Male,1/1/2009,0M,,958.194084719
75 to 79,Population,TCD,Male,1/1/2015,0M,,36957.641842313
60 to 64,Population,QAT,Female,1/1/2011,0M,4555.404314401,
65 to 69,Population,CHN,Female,1/1/2013,24M,24063656.4049189,
35 to 39,Population,VNM,Male,1/1/2015,4M,,3627852.18730875
40 to 44,Population,CHE,Female,1/1/2011,0M,313538.055133889,
5 to 9,Population,TON,Female,1/1/2008,0M,6545.080560698,
70 to 74,Population,NAM,Female,1/1/2008,0M,13068.587277838,
40 to 44,Population,MEX,Male,1/1/2015,4M,,3930034.07095166
20 to 24,Population,STP,Female,1/1/2014,0M,8540.271922156,
55 to 59,Population,GNQ,Female,1/1/2008,0M,8776.703628884,
Under 5,Population,GBR,Female,1/1/2017,4M,3813280.5899351,
10 to 14,Population,PRY,Female,1/1/2010,0M,340949.818214521,
45 to 49,Population,NAM,Male,1/1/2011,0M,,37838.145716621
45 to 49,Population,MNG,Female,1/1/2012,0M,90453.255582393,
35 to 39,Population,ROU,Female,1/1/2014,1M,775073.60000897,
Under 5,Population,GUY,Male,1/1/2008,0M,,39177.468850574
65 to 69,Population,COG,Male,1/1/2011,0M,,23247.947803848
75 to 79,Population,CHL,Female,1/1/2014,0M,187436.071282145,
5 to 9,Population,BRN,Female,1/1/2016,0M,15185.219534086,
75 to 79,Population,SOM,Female,1/1/2016,0M,31110.373856126,
55 to 59,Population,HRV,Male,1/1/2011,0M,,155224.896913047
10 to 14,Population,MDG,Male,1/1/2014,2M,,1543064.73059185
35 to 39,Population,ERI,Male,1/1/2012,0M,,146694.612529082
50 to 54,Population,COG,Female,1/1/2008,0M,56009.539560023,
45 to 49,Population,VIR,Male,1/1/2017,0M,,3442.768872586
5 to 9,Population,LBY,Female,1/1/2010,0M,287014.765131814,
25 to 29,Population,BGD,Female,1/1/2013,7M,6874837.59413049,
25 to 29,Population,JAM,Male,1/1/2015,0M,,118673.146773244
60 to 64,Population,IND,Male,1/1/2011,18M,,17759758.8447545
10 to 14,Population,RUS,Male,1/1/2012,3M,,3487292.73899433
20 to 24,Population,SAU,Male,1/1/2015,2M,,1840335.18842259
25 to 29,Population,MHL,Female,1/1/2013,0M,2325.507280510,
30 to 34,Population,LSO,Female,1/1/2017,0M,81862.696452205,
15 to 19,Population,BWA,Male,1/1/2010,0M,,107637.793354144
25 to 29,Population,BRN,Female,1/1/2010,0M,18374.930085970,
45 to 49,Population,IDN,Male,1/1/2015,8M,,8083785.96331692
80 plus,Population,USA,Male,1/1/2016,5M,,4567505.92442671
40 to 44,Population,GMB,Male,1/1/2017,0M,,44635.117376298
10 to 14,Population,FIN,Female,1/1/2008,0M,151742.036702484,
65 to 69,Population,BTN,Female,1/1/2016,0M,7648.196725541,
Under 5,Population,CUB,Male,1/1/2013,0M,,325971.021210544
60 to 64,Population,SWE,Female,1/1/2008,0M,314774.284387858,
50 to 54,Population,DZA,Female,1/1/2012,1M,775131.632659267,
15 to 19,Population,CRI,Female,1/1/2015,0M,200101.353642805,
25 to 29,Population,THA,Male,1/1/2013,2M,,2473528.26865963
55 to 59,Population,TLS,Female,1/1/2015,0M,14376.939630204,
35 to 39,Population,LTU,Female,1/1/2011,0M,106532.40200832,
5 to 9,Population,VIR,Male,1/1/2014,0M,,3711.550007004
30 to 34,Population,PAN,Female,1/1/2015,0M,138588.363947228,
5 to 9,Population,SVK,Male,1/1/2016,0M,,148129.992245714
25 to 29,Population,SUR,Male,1/1/2017,0M,,20913.641554996
30 to 34,Population,CHN,Male,1/1/2014,51M,,51009756.800082
15 to 19,Population,JOR,Female,1/1/2014,0M,444123.023951816,
80 plus,Population,BEL,Female,1/1/2016,0M,396527.765729052,
5 to 9,Population,MDA,Female,1/1/2014,0M,102248.989335886,
80 plus,Population,VIR,Male,1/1/2017,0M,,844.235428303
40 to 44,Population,MLT,Female,1/1/2017,0M,14686.948968106,
80 plus,Population,MDA,Female,1/1/2017,0M,78045.416405008,
5 to 9,Population,CYP,Female,1/1/2012,0M,29604.783002446,
15 to 19,Population,TGO,Female,1/1/2015,0M,349028.579674883,
60 to 64,Population,HRV,Female,1/1/2008,0M,121918.473862038,
5 to 9,Population,ISL,Male,1/1/2015,0M,,11838.546050889
35 to 39,Population,BRB,Male,1/1/2012,0M,,9943.581722968
55 to 59,Population,GRC,Female,1/1/2010,0M,339844.448937329,
65 to 69,Population,SVN,Female,1/1/2017,0M,62962.301044994,
50 to 54,Population,KAZ,Male,1/1/2017,0M,,473005.920673758
65 to 69,Population,TUN,Male,1/1/2017,0M,,175310.771539052
10 to 14,Population,YEM,Male,1/1/2012,2M,,1674707.9138335
Under 5,Population,TUN,Male,1/1/2010,0M,,482868.993726345
50 to 54,Population,STP,Male,1/1/2009,0M,,2189.671893628
50 to 54,Population,TZA,Female,1/1/2008,1M,508222.409552717,
70 to 74,Population,ARE,Male,1/1/2017,0M,,9804.840216521
45 to 49,Population,BEL,Female,1/1/2016,0M,389289.310950329,
55 to 59,Population,GNB,Male,1/1/2012,0M,,14476.078291993
20 to 24,Population,KHM,Male,1/1/2009,1M,,739319.520226209
50 to 54,Population,GRD,Female,1/1/2017,0M,3322.931155515,
70 to 74,Population,BFA,Female,1/1/2010,0M,75223.720396588,
15 to 19,Population,ATG,Female,1/1/2014,0M,3638.558822053,
20 to 24,Population,ZWE,Male,1/1/2014,1M,,605103.279727304
55 to 59,Population,TWN,Male,1/1/2011,1M,,790336.251605381
70 to 74,Population,AZE,Female,1/1/2017,0M,57664.833097929,
55 to 59,Population,CZE,Male,1/1/2014,0M,,335963.615052735
15 to 19,Population,SSD,Female,1/1/2010,0M,482251.044512328,
20 to 24,Population,MAR,Female,1/1/2012,2M,1584875.7749135,
15 to 19,Population,MLI,Male,1/1/2015,1M,,1025572.10096768
10 to 14,Population,WSM,Male,1/1/2012,0M,,12129.118474219
60 to 64,Population,TWN,Female,1/1/2008,0M,427350.117304997,
75 to 79,Population,STP,Male,1/1/2013,0M,,616.302698442
35 to 39,Population,CPV,Female,1/1/2011,0M,14519.896697671,
75 to 79,Population,AUT,Male,1/1/2009,0M,,113130.637037451
65 to 69,Population,CIV,Male,1/1/2008,0M,,102622.734957036
20 to 24,Population,SYC,Male,1/1/2011,0M,,4263.344490303
15 to 19,Population,SYC,Female,1/1/2008,0M,3584.807518859,
15 to 19,Population,HUN,Female,1/1/2017,0M,237820.864968211,
45 to 49,Population,MDA,Female,1/1/2017,0M,121699.504522546,
20 to 24,Population,NOR,Male,1/1/2016,0M,,176934.454275516
10 to 14,Population,NGA,Female,1/1/2010,10M,10016189.6014563,
70 to 74,Population,KGZ,Male,1/1/2014,0M,,26264.683526959
55 to 59,Population,IND,Female,1/1/2008,19M,18750525.8387425,
25 to 29,Population,UZB,Male,1/1/2013,1M,,1451276.69837698
65 to 69,Population,COL,Male,1/1/2009,0M,,491581.99343189
40 to 44,Population,VUT,Female,1/1/2012,0M,6389.412675523,
50 to 54,Population,CIV,Female,1/1/2011,0M,271667.886894289,
70 to 74,Population,BRA,Female,1/1/2015,2M,2423025.37831651,
15 to 19,Population,TON,Male,1/1/2012,0M,,5538.304576231
25 to 29,Population,SVK,Male,1/1/2010,0M,,227304.39209303
20 to 24,Population,ARM,Male,1/1/2015,0M,,122804.564670364
45 to 49,Population,NLD,Female,1/1/2012,1M,642197.187471126,
20 to 24,Population,BLZ,Male,1/1/2013,0M,,17270.976839570
15 to 19,Population,NIC,Female,1/1/2016,0M,308768.540557081,
35 to 39,Population,ARG,Female,1/1/2017,2M,1638560.18730054,
25 to 29,Population,LBY,Female,1/1/2016,0M,291008.487491719,
40 to 44,Population,COL,Male,1/1/2013,1M,,1412931.86804084
Under 5,Population,SVN,Female,1/1/2010,0M,49993.564142880,
30 to 34,Population,LVA,Female,1/1/2016,0M,66844.634872538,
10 to 14,Population,SGP,Male,1/1/2012,0M,,154125.958414115
65 to 69,Population,TZA,Male,1/1/2011,0M,,262810.813548544
40 to 44,Population,OMN,Male,1/1/2011,0M,,138833.396171058
45 to 49,Population,USA,Male,1/1/2016,10M,,10443493.9571478
50 to 54,Population,CMR,Female,1/1/2017,0M,364880.30428082,
80 plus,Population,NLD,Female,1/1/2012,0M,447051.995509969,
40 to 44,Population,LAO,Male,1/1/2012,0M,,165423.273329754
65 to 69,Population,LBN,Female,1/1/2016,0M,99132.795978308,
55 to 59,Population,PSE,Female,1/1/2015,0M,55467.697921266,
50 to 54,Population,SLV,Male,1/1/2014,0M,,109231.915496138
5 to 9,Population,NPL,Female,1/1/2015,2M,1538217.5788209,
75 to 79,Population,OMN,Female,1/1/2008,0M,5642.938704775,
25 to 29,Population,FIN,Male,1/1/2011,0M,,177545.547432253
80 plus,Population,IDN,Male,1/1/2015,1M,,811970.921296536
15 to 19,Population,SDN,Male,1/1/2012,2M,,1971385.92633251
20 to 24,Population,MUS,Female,1/1/2010,0M,46330.546795256,
55 to 59,Population,SWE,Male,1/1/2011,0M,,288825.958901558
50 to 54,Population,BHS,Female,1/1/2014,0M,11829.461849364,
30 to 34,Population,SEN,Male,1/1/2011,0M,,400327.72911755
5 to 9,Population,PRK,Female,1/1/2013,1M,848746.717401086,
50 to 54,Population,AUT,Male,1/1/2013,0M,,336046.80198345
30 to 34,Population,TUR,Female,1/1/2012,3M,3237789.65383773,
50 to 54,Population,LUX,Female,1/1/2014,0M,19601.827293803,
40 to 44,Population,MUS,Female,1/1/2010,0M,47161.253736191,
35 to 39,Population,GNB,Male,1/1/2012,0M,,37899.583673116
40 to 44,Population,SYC,Male,1/1/2011,0M,,3973.080361447
5 to 9,Population,PRI,Male,1/1/2009,0M,,130908.183629151
60 to 64,Population,THA,Male,1/1/2009,1M,,1262539.84691638
30 to 34,Population,BHS,Female,1/1/2014,0M,14554.597202688,
80 plus,Population,THA,Male,1/1/2013,1M,,545932.642246362
20 to 24,Population,VUT,Female,1/1/2012,0M,12232.222435370,
65 to 69,Population,MDV,Female,1/1/2017,0M,2801.913809505,
80 plus,Population,JAM,Male,1/1/2015,0M,,26265.971703345
60 to 64,Population,CPV,Male,1/1/2008,0M,,3122.157575263
Under 5,Population,FJI,Female,1/1/2013,0M,46239.341154695,
Under 5,Population,HTI,Male,1/1/2013,1M,,714324.611517781
Under 5,Population,ISR,Female,1/1/2017,0M,433900.101524239,
55 to 59,Population,ARG,Female,1/1/2017,1M,1066069.96921472,
15 to 19,Population,STP,Male,1/1/2013,0M,,9849.142414041
5 to 9,Population,MMR,Female,1/1/2009,3M,2564686.3700717,
35 to 39,Population,CZE,Male,1/1/2014,0M,,472743.30718388
75 to 79,Population,SYC,Female,1/1/2008,0M,829.626213654,
40 to 44,Population,SAU,Male,1/1/2015,2M,,1713308.99928429
40 to 44,Population,NOR,Male,1/1/2016,0M,,190363.005809483
50 to 54,Population,CHN,Male,1/1/2014,50M,,49531072.2401872
60 to 64,Population,BEN,Male,1/1/2016,0M,,77672.582618828
40 to 44,Population,MAR,Female,1/1/2012,1M,1068433.72053071,
60 to 64,Population,BGD,Female,1/1/2009,1M,1442010.76721977,
10 to 14,Population,AZE,Female,1/1/2017,0M,333327.513493001,
30 to 34,Population,GRD,Female,1/1/2017,0M,3515.313016852,
20 to 24,Population,MLT,Female,1/1/2017,0M,12714.965905436,
55 to 59,Population,ERI,Male,1/1/2012,0M,,42549.154969290
30 to 34,Population,LUX,Female,1/1/2014,0M,21138.185640922,
75 to 79,Population,CRI,Female,1/1/2015,0M,35557.977408444,
45 to 49,Population,THA,Male,1/1/2013,3M,,2744909.21135146
65 to 69,Population,ISR,Female,1/1/2010,0M,110625.033434829,
5 to 9,Population,CHE,Female,1/1/2012,0M,191096.755450774,
20 to 24,Population,COL,Male,1/1/2013,2M,,2119096.98986859
25 to 29,Population,MDA,Female,1/1/2017,0M,147702.755966586,
80 plus,Population,MHL,Female,1/1/2013,0M,82.034625306,
30 to 34,Population,AUT,Male,1/1/2013,0M,,285614.410176836
70 to 74,Population,FIN,Female,1/1/2008,0M,119906.852070331,
80 plus,Population,SUR,Male,1/1/2017,0M,,3639.597539882
75 to 79,Population,NIC,Female,1/1/2016,0M,32310.812799400,
75 to 79,Population,TON,Male,1/1/2012,0M,,551.584036427
65 to 69,Population,JPN,Male,1/1/2012,4M,,3975337.78418911
Under 5,Population,MDV,Female,1/1/2010,0M,16730.358961014,
80 plus,Population,BGD,Female,1/1/2013,1M,576798.010654044,
Under 5,Population,PNG,Male,1/1/2013,1M,,633899.455307517
60 to 64,Population,MOZ,Female,1/1/2010,0M,178502.386296436,
70 to 74,Population,NGA,Female,1/1/2010,1M,594694.160443133,
55 to 59,Population,LTU,Female,1/1/2011,0M,103060.36273746,
